Year,SB
1972,2875287.625
1973,3275759.875
1974,3498847.625
1975,3213559.375
1976,2856683.25
1977,2664427.75
1978,3047270
1979,3038691.625
1980,3056432.25
1981,2978893.5
1982,3174980.125
1983,3647730.125
1984,3838793.75
1985,3570204
1986,3734835.25
1987,4054839.75
1988,4295226.125
1989,3889422.25
1990,3683642
1991,3742300.625
1992,3682671.125
1993,3671556.5
1994,3846488.875
1995,4014141.125
1996,4017050.5
1997,4055259.25
1998,4461618.375
1999,4664018.25
2000,4840092.125
2001,4879355.125
2002,4745516.75
2003,4578284.875
2004,4453239
2005,5031517.625
2006,5375373.375
2007,5373133.375
2008,4880926.5
2009,4375171.5
2010,4482678.35
2011,4531874.75
2012,4497380.625
2013,4682291.75
2014,4713321.75
2015,4634636.625
2016,4224971.125
2017,3740913.375
2018,3891193
2019,4115896.25
2020,3525407.625
2021,3382476.75
